"Year","State","State_Population","State_Per_Capita_Income","Total_Charges","Percentage_of_US_Total_Charges","Race","Percentage_of_US_Race_Charges","Sex","Percentage_of_US_Sex_Charges","National_Origin","Percentage_of_US_National_Origin_Charges","Religion","Percentage_of_US_Religion_Charges","Color","Percentage_of_US_Color_Charges","Retaliation_All","Percentage_of_US_Retaliation_All_Charges","Retaliation_Title_VII","Percentage_of_US_Retaliation_Title_VII_Charges","Age","Percentage_of_US_Age_Charges","Disability","Percentage_of_US_Disability_Charges","Equal_Pay_Act","Percentage_of_US_EPA_Charges","GINA","Percentage_of_US_GINA_Charges","Gov_Party","White_Male_Pop","White_Female_Pop","Black_Male_Pop","Black_Female_Pop","Native_American_Male_Pop","Native_American_Female_Pop","Asian_Male_Pop","Asian_Female_Pop","Hispanic_Male_Pop","Hispanic_Female_Pop"
2016,"Rhode Island",1056770,49184,131,"0.10%",15,"0.00%",19,"0.10%",6,"0.10%",3,"0.10%",5,"0.20%",20,"0.00%",16,"0.00%",83,"0.40%",26,"0.10%",0,"0.00%",1,"0.40%","D",378051,406433,34749,35062,2553,2705,18888,20572,61785,60309
2017,"Rhode Island",1055673,50973,37,"0.00%",6,"0.00%",11,"0.00%",3,"0.00%",0,"0.00%",2,"0.10%",11,"0.00%",7,"0.00%",8,"0.00%",17,"0.10%",1,"0.10%",0,"0.00%","D",375015,403255,35194,35435,2556,2668,18886,20485,63139,61847
2018,"Rhode Island",1058287,52550,50,"0.10%",9,"0.00%",18,"0.10%",5,"0.10%",2,"0.10%",2,"0.10%",15,"0.00%",13,"0.00%",16,"0.10%",17,"0.10%",2,"0.20%",0,"0.00%","D",372491,400323,35928,36237,2585,2671,19354,20839,65339,63811
2019,"Rhode Island",1059361,54735,68,"0.10%",17,"0.10%",17,"0.10%",8,"0.10%",3,"0.10%",6,"0.20%",31,"0.10%",22,"0.10%",21,"0.10%",27,"0.10%",3,"0.30%",1,"0.50%","D",369628,397207,36419,36717,2585,2709,19286,20814,66734,65103
2020,"Rhode Island",1097379,58656,46,"0.10%",9,"0.00%",13,"0.10%",7,"0.10%",1,"0.00%",5,"0.10%",21,"0.10%",17,"0.10%",16,"0.10%",20,"0.10%",0,"0.00%",0,"0.00%","D",367048,394347,36978,36949,2537,2692,19291,20812,67984,66393
2010,"South Carolina",4635649,32852,1332,"1.30%",546,"1.50%",395,"1.40%",105,"0.90%",34,"0.90%",23,"0.80%",468,"1.30%",433,"1.40%",274,"1.20%",312,"1.20%",21,"2.00%",3,"1.50%","R",1468821,1535663,614244,695339,8940,9335,31354,35454,112240,88844
2011,"South Carolina",4671994,34479,1370,"1.40%",584,"1.60%",405,"1.40%",88,"0.70%",37,"0.90%",20,"0.70%",508,"1.40%",463,"1.50%",268,"1.10%",309,"1.20%",20,"2.20%",2,"0.80%","R",1480202,1547443,617411,699553,9036,9380,32738,36993,112307,90960
2012,"South Carolina",4717354,35989,1232,"1.20%",482,"1.40%",383,"1.30%",84,"0.80%",42,"1.10%",17,"0.60%",478,"1.30%",413,"1.30%",232,"1.00%",264,"1.00%",14,"1.30%",6,"2.10%","R",1494960,1561307,621869,704970,9238,9480,34382,38770,112950,93360
2013,"South Carolina",4764080,36204,1168,"1.20%",509,"1.50%",319,"1.20%",74,"0.70%",32,"0.90%",22,"0.70%",474,"1.20%",405,"1.30%",271,"1.30%",283,"1.10%",9,"0.90%",2,"0.60%","R",1509479,1575854,626915,710237,9324,9589,35757,40329,113960,96044
2014,"South Carolina",4823617,38152,1118,"1.30%",417,"1.30%",363,"1.40%",62,"0.60%",33,"0.90%",20,"0.70%",483,"1.30%",415,"1.30%",228,"1.10%",289,"1.10%",20,"2.10%",5,"1.50%","R",1527728,1595437,631813,716188,9502,9726,37644,42361,116575,99534
2015,"South Carolina",4891938,40053,1278,"1.40%",545,"1.80%",373,"1.40%",51,"0.50%",42,"1.20%",19,"0.70%",558,"1.50%",468,"1.50%",245,"1.20%",367,"1.40%",23,"2.50%",1,"0.30%","R",1548981,1617712,637645,722614,9648,9906,39753,44598,119809,103582
2016,"South Carolina",4957968,41178,1296,"1.40%",546,"1.70%",392,"1.50%",52,"0.50%",39,"1.00%",41,"1.30%",617,"1.50%",495,"1.50%",266,"1.30%",366,"1.30%",14,"1.30%",2,"0.80%","R",1569118,1640223,642427,728788,9810,10088,41950,46956,123120,107199
2017,"South Carolina",5021268,42819,1167,"1.40%",454,"1.60%",367,"1.40%",62,"0.70%",36,"1.00%",38,"1.20%",604,"1.50%",473,"1.50%",210,"1.10%",330,"1.20%",27,"2.70%",2,"1.00%","R",1587805,1660932,645699,734436,9910,10219,44175,49141,127527,112020
2018,"South Carolina",5084156,44326,1165,"1.50%",403,"1.60%",398,"1.60%",55,"0.80%",24,"0.80%",18,"0.60%",653,"1.70%",509,"1.70%",205,"1.20%",356,"1.40%",22,"2.10%",2,"0.90%","R",1605210,1681560,649584,740486,9981,10336,46266,51500,132346,117142
2019,"South Carolina",5148714,46173,1008,"1.40%",360,"1.50%",347,"1.50%",55,"0.80%",32,"1.20%",25,"0.70%",588,"1.50%",481,"1.60%",166,"1.10%",299,"1.20%",17,"1.50%",1,"0.50%","R",1622728,1702626,653444,746274,10133,10543,48653,54012,137398,122603
2020,"South Carolina",5118425,48838,1004,"1.50%",381,"1.70%",311,"1.50%",48,"0.80%",22,"0.90%",22,"0.60%",586,"1.60%",449,"1.60%",149,"1.10%",288,"1.20%",12,"1.20%",0,"0.00%","R",1638616,1723318,655720,752244,10290,10760,50831,56200,141734,127739
2010,"South Dakota",816166,41423,61,"0.10%",20,"0.10%",18,"0.10%",9,"0.10%",1,"0.00%",2,"0.10%",34,"0.10%",21,"0.10%",20,"0.10%",30,"0.10%",3,"0.30%",0,"0.00%","R",348534,350159,7622,5460,36011,37298,4157,4497,9432,7968
2011,"South Dakota",823579,44758,67,"0.10%",24,"0.10%",16,"0.10%",21,"0.20%",8,"0.20%",0,"0.00%",32,"0.10%",20,"0.10%",25,"0.10%",24,"0.10%",1,"0.10%",0,"0.00%","R",350785,350981,8267,5786,36373,37619,4491,4791,10517,8514
2012,"South Dakota",833566,45442,63,"0.10%",18,"0.10%",14,"0.00%",9,"0.10%",4,"0.10%",1,"0.00%",28,"0.10%",20,"0.10%",24,"0.10%",22,"0.10%",2,"0.20%",0,"0.00%","R",352973,352406,9511,6781,36697,37958,5145,5353,11509,9205
2013,"South Dakota",842316,45608,62,"0.10%",18,"0.10%",17,"0.10%",8,"0.10%",0,"0.00%",2,"0.10%",22,"0.10%",17,"0.10%",21,"0.10%",20,"0.10%",2,"0.20%",0,"0.00%","R",355777,354640,10122,7146,36992,38253,5436,5613,11937,9789
2014,"South Dakota",849129,47488,72,"0.10%",14,"0.00%",16,"0.10%",5,"0.10%",3,"0.10%",2,"0.10%",42,"0.10%",25,"0.10%",22,"0.10%",27,"0.10%",1,"0.10%",0,"0.00%","R",358149,356434,10479,7394,37172,38533,5684,5876,12261,10135
2015,"South Dakota",853988,49186,64,"0.10%",11,"0.00%",22,"0.10%",2,"0.00%",4,"0.10%",3,"0.10%",42,"0.10%",23,"0.10%",19,"0.10%",29,"0.10%",1,"0.10%",0,"0.00%","R",359283,357129,10962,7738,37447,38782,6083,6267,12564,10346
2016,"South Dakota",862996,49192,54,"0.10%",17,"0.10%",20,"0.10%",6,"0.10%",5,"0.10%",2,"0.10%",29,"0.10%",21,"0.10%",13,"0.10%",23,"0.10%",1,"0.10%",1,"0.40%","R",361320,358460,12026,8626,37697,39074,6654,7031,13163,10934
2017,"South Dakota",872868,50350,70,"0.10%",20,"0.10%",22,"0.10%",9,"0.10%",4,"0.10%",0,"0.00%",49,"0.10%",29,"0.10%",13,"0.10%",29,"0.10%",5,"0.50%",1,"0.50%","R",363668,360244,12990,9438,37886,39266,7231,7719,14208,11839
2018,"South Dakota",878698,52590,48,"0.10%",14,"0.10%",12,"0.00%",1,"0.00%",1,"0.00%",3,"0.10%",30,"0.10%",18,"0.10%",19,"0.10%",16,"0.10%",3,"0.30%",0,"0.00%","R",365141,361895,13353,9713,38033,39432,7156,7665,14659,12483
2019,"South Dakota",884659,55011,49,"0.10%",18,"0.10%",20,"0.10%",7,"0.10%",1,"0.00%",3,"0.10%",32,"0.10%",19,"0.10%",14,"0.10%",17,"0.10%",0,"0.00%",0,"0.00%","R",367481,364070,13882,10205,38146,39381,7475,8099,15292,13061
2020,"South Dakota",886667,59656,67,"0.10%",12,"0.10%",26,"0.10%",6,"0.10%",3,"0.10%",2,"0.10%",42,"0.10%",28,"0.10%",18,"0.10%",30,"0.10%",3,"0.30%",0,"0.00%","R",369315,365201,14359,10610,38125,39288,7715,8500,15792,13677
2010,"Tennessee",6355311,35851,3608,"3.60%",1516,"4.20%",1062,"3.70%",192,"1.70%",125,"3.30%",105,"3.80%",1270,"3.50%",1085,"3.50%",782,"3.40%",890,"3.50%",50,"4.80%",7,"3.50%","D",2372143,2490068,510212,572435,8978,8795,48065,53703,139986,116493
2011,"Tennessee",6399291,37727,3307,"3.30%",1314,"3.70%",965,"3.40%",225,"1.90%",102,"2.50%",66,"2.30%",1299,"3.50%",1138,"3.60%",660,"2.80%",785,"3.00%",41,"4.50%",12,"4.90%","R",2381475,2499798,516258,578491,9051,8933,50465,56326,142578,120481
2012,"Tennessee",6453898,39373,3280,"3.30%",1276,"3.80%",998,"3.30%",158,"1.50%",121,"3.20%",56,"2.10%",1286,"3.40%",1115,"3.60%",733,"3.20%",808,"3.10%",35,"3.20%",6,"2.10%","R",2394917,2511450,524617,585664,9252,9048,52694,58705,145702,125434
2013,"Tennessee",6494340,39454,2988,"3.20%",1121,"3.40%",912,"3.30%",122,"1.10%",88,"2.40%",50,"1.60%",1220,"3.20%",1021,"3.20%",589,"2.80%",813,"3.10%",33,"3.20%",7,"2.10%","R",2404329,2520096,529814,590916,9400,9160,54792,61067,148405,129151
2014,"Tennessee",6541223,40753,3221,"3.60%",1361,"4.40%",948,"3.60%",150,"1.60%",79,"2.20%",79,"2.90%",1283,"3.40%",1044,"3.40%",594,"2.90%",844,"3.30%",33,"3.50%",7,"2.10%","R",2416645,2530814,535514,596218,9569,9374,56555,63037,151694,133278
2015,"Tennessee",6591170,42535,2726,"3.10%",1052,"3.40%",863,"3.30%",157,"1.60%",80,"2.30%",70,"2.50%",1243,"3.30%",973,"3.20%",556,"2.70%",811,"3.20%",41,"4.40%",5,"1.50%","R",2428950,2543031,540601,601807,9745,9533,58831,65412,155973,138079
2016,"Tennessee",6646010,43499,2740,"3.00%",1022,"3.20%",931,"3.50%",131,"1.30%",79,"2.10%",68,"2.20%",1329,"3.20%",1065,"3.20%",545,"2.60%",861,"3.10%",45,"4.20%",5,"2.10%","R",2444341,2556984,544960,607562,9904,9763,60959,67768,160695,143260
2017,"Tennessee",6708799,44969,2640,"3.10%",970,"3.40%",815,"3.20%",112,"1.30%",95,"2.80%",61,"1.90%",1318,"3.30%",1060,"3.30%",528,"2.90%",808,"3.00%",34,"3.40%",3,"1.50%","R",2460492,2572164,550767,613444,10125,9920,63558,70382,167174,149400
2018,"Tennessee",6771631,47006,2331,"3.10%",834,"3.40%",787,"3.20%",84,"1.20%",78,"2.70%",73,"2.30%",1176,"3.00%",938,"3.10%",452,"2.70%",725,"2.90%",30,"2.80%",4,"1.80%","R",2475759,2588427,555725,619140,10381,10066,66478,73481,173484,156089
2019,"Tennessee",6829174,48781,2393,"3.30%",889,"3.70%",812,"3.50%",124,"1.80%",74,"2.70%",85,"2.50%",1368,"3.50%",1065,"3.50%",523,"3.40%",769,"3.20%",39,"3.50%",3,"1.40%","R",2488583,2602615,559353,624124,10608,10276,68222,75075,178835,161804
2020,"Tennessee",6910840,50801,2359,"3.50%",880,"4.00%",760,"3.60%",122,"1.90%",82,"3.40%",112,"3.10%",1372,"3.60%",1038,"3.70%",463,"3.30%",777,"3.20%",40,"4.10%",5,"1.10%","R",2503449,2619806,562474,628599,10783,10499,70065,76749,184219,167711
2010,"Texas",25241971,39034,9310,"9.30%",3142,"8.80%",2835,"9.80%",1354,"12.00%",304,"8.00%",261,"9.40%",3638,"10.00%",3162,"10.20%",2182,"9.40%",2085,"8.30%",85,"8.10%",8,"4.00%","R",5740421,5875550,1439268,1542965,45922,46628,503421,530956,4569527,4508970
2011,"Texas",25645629,42037,9952,"10.00%",3610,"10.20%",2925,"10.30%",1745,"14.70%",622,"15.00%",265,"9.40%",4080,"10.90%",3569,"11.40%",2121,"9.00%",2335,"9.10%",82,"8.90%",19,"7.80%","R",5777412,5909879,1467494,1571148,46708,47382,525720,554745,4673601,4618879
2012,"Texas",26084481,44241,8929,"9.00%",3037,"9.10%",2738,"9.00%",1303,"12.00%",299,"7.80%",296,"11.10%",3730,"9.90%",3156,"10.10%",2001,"8.80%",2246,"8.50%",94,"8.70%",20,"7.10%","R",5827144,5951210,1501310,1605187,47730,48282,552998,582711,4776281,4723190
2013,"Texas",26480266,44816,9068,"9.70%",3167,"9.60%",2849,"10.30%",1388,"13.00%",303,"8.10%",355,"11.30%",3816,"9.90%",3248,"10.30%",2029,"9.50%",2364,"9.10%",103,"10.10%",15,"4.50%","R",5859039,5978030,1534249,1637874,48606,49157,581747,612313,4873651,4821433
2014,"Texas",26964333,47370,8035,"9.10%",2913,"9.40%",2564,"9.90%",1093,"11.40%",300,"8.50%",330,"12.00%",3708,"9.80%",3133,"10.20%",1889,"9.20%",2123,"8.40%",101,"10.80%",13,"3.90%","R",5911307,6025898,1571968,1677238,49646,50146,617722,649807,4981535,4926850
2015,"Texas",27470056,47465,9539,"10.70%",3353,"10.80%",2869,"11.00%",1232,"12.90%",311,"8.80%",427,"15.50%",4642,"12.20%",3810,"12.40%",1956,"9.50%",2761,"10.90%",104,"11.10%",23,"6.90%","R",5962224,6071185,1612694,1719538,50718,51054,655334,689461,5098684,5038400
2016,"Texas",27914410,46586,9308,"10.20%",3244,"10.00%",2765,"10.30%",1190,"12.10%",358,"9.40%",403,"13.00%",4633,"11.00%",3692,"11.20%",2000,"9.60%",2775,"9.90%",90,"8.40%",24,"10.10%","R",5992686,6100895,1651422,1760282,51539,51902,688649,724428,5208921,5146419
2017,"Texas",28295273,49227,8827,"10.50%",2999,"10.50%",2740,"10.70%",1115,"13.40%",317,"9.20%",483,"14.90%",4740,"11.60%",3730,"11.60%",1975,"10.70%",2642,"9.80%",98,"9.80%",32,"15.50%","R",6009276,6117294,1687824,1798082,52280,52538,718910,756543,5304104,5240148
2018,"Texas",28628666,52019,7482,"9.80%",2254,"9.20%",2347,"9.50%",914,"12.90%",270,"9.40%",408,"12.90%",4228,"10.70%",3217,"10.50%",1744,"10.30%",2333,"9.50%",95,"8.90%",18,"8.20%","R",6020820,6129936,1719985,1833824,52931,53285,742103,782411,5390048,5327981
2019,"Texas",28995881,53505,7448,"10.20%",2314,"9.70%",2401,"10.20%",827,"11.80%",236,"8.70%",383,"11.20%",4146,"10.60%",3193,"10.60%",1633,"10.50%",2354,"9.70%",140,"12.50%",20,"9.60%","R",6040947,6147930,1753030,1871070,53669,54099,766774,807938,5481501,5419317
2020,"Texas",29145505,55399,6876,"10.20%",2158,"9.80%",2109,"9.90%",836,"13.10%",205,"8.50%",417,"11.70%",3913,"10.40%",2943,"10.50%",1514,"10.70%",2358,"9.70%",86,"8.80%",11,"2.50%","R",6063778,6170067,1789746,1910168,54440,54742,792342,833619,5571548,5509486
2010,"Utah",2775332,32218,204,"0.20%",34,"0.10%",59,"0.20%",30,"0.30%",18,"0.50%",2,"0.10%",87,"0.20%",65,"0.20%",67,"0.30%",62,"0.20%",4,"0.40%",1,"0.50%","R",1131254,1131407,19021,14478,14690,15305,43106,45665,169565,159450
2011,"Utah",2814384,34190,215,"0.20%",37,"0.10%",75,"0.30%",25,"0.20%",25,"0.60%",3,"0.10%",95,"0.30%",64,"0.20%",58,"0.20%",70,"0.30%",3,"0.30%",0,"0.00%","R",1145395,1144417,19499,14952,14764,15402,44541,47338,172764,163118
2012,"Utah",2853375,36005,247,"0.20%",32,"0.10%",100,"0.30%",18,"0.20%",14,"0.40%",5,"0.20%",95,"0.30%",64,"0.20%",54,"0.20%",85,"0.30%",4,"0.40%",0,"0.00%","R",1159525,1156528,20171,15662,14913,15478,46692,49486,175577,165995
2013,"Utah",2897640,36511,270,"0.30%",38,"0.10%",103,"0.40%",26,"0.20%",28,"0.80%",6,"0.20%",105,"0.30%",72,"0.20%",85,"0.40%",91,"0.40%",4,"0.40%",0,"0.00%","R",1175498,1170878,20857,16221,14982,15605,48569,51201,179092,170113
2014,"Utah",2936879,38168,317,"0.40%",46,"0.10%",82,"0.30%",94,"1.00%",37,"1.00%",4,"0.10%",136,"0.40%",96,"0.30%",72,"0.30%",99,"0.40%",2,"0.20%",0,"0.00%","R",1188817,1183417,21514,16637,15132,15838,50421,53069,182619,173972
2015,"Utah",2981835,40459,281,"0.30%",48,"0.20%",110,"0.40%",36,"0.40%",30,"0.80%",6,"0.20%",150,"0.40%",106,"0.30%",62,"0.30%",110,"0.40%",9,"1.00%",2,"0.60%","R",1203679,1197402,22283,17116,15352,15917,52386,54931,187567,178830
2016,"Utah",3041868,41750,259,"0.30%",38,"0.10%",84,"0.30%",23,"0.20%",18,"0.50%",3,"0.10%",140,"0.30%",80,"0.20%",55,"0.30%",120,"0.40%",5,"0.50%",0,"0.00%","R",1223771,1215958,23562,18073,15568,16074,54862,57817,193878,185009
2017,"Utah",3101042,43400,264,"0.30%",30,"0.10%",101,"0.40%",30,"0.40%",28,"0.80%",6,"0.20%",135,"0.30%",82,"0.30%",52,"0.30%",124,"0.50%",6,"0.60%",0,"0.00%","R",1242269,1233252,24906,19129,15755,16322,57637,60520,200873,191453
2018,"Utah",3153550,46002,233,"0.30%",41,"0.20%",79,"0.30%",23,"0.30%",22,"0.80%",12,"0.40%",114,"0.30%",78,"0.30%",59,"0.30%",93,"0.40%",7,"0.70%",0,"0.00%","R",1258200,1248885,25906,19954,15910,16482,59851,62739,206786,197317
2019,"Utah",3205958,48670,218,"0.30%",35,"0.10%",87,"0.40%",24,"0.30%",15,"0.60%",12,"0.40%",127,"0.30%",81,"0.30%",42,"0.30%",98,"0.40%",5,"0.40%",0,"0.00%","R",1273663,1263410,26958,20802,16153,16806,61738,64734,211855,202470
2020,"Utah",3271616,51698,245,"0.40%",44,"0.20%",76,"0.40%",23,"0.40%",14,"0.60%",16,"0.40%",154,"0.40%",93,"0.30%",52,"0.40%",116,"0.50%",9,"0.90%",1,"0.20%","R",1287800,1276820,28008,21581,16493,17087,63793,66650,217644,207519
2010,"Vermont",625879,41733,32,"0.00%",9,"0.00%",12,"0.00%",3,"0.00%",0,"0.00%",2,"0.10%",14,"0.00%",12,"0.00%",9,"0.00%",7,"0.00%",0,"0.00%",0,"0.00%","R",294143,303283,4301,3565,1341,1332,3831,4799,4055,4099
2011,"Vermont",627049,43982,35,"0.00%",7,"0.00%",12,"0.00%",1,"0.00%",7,"0.20%",2,"0.10%",12,"0.00%",12,"0.00%",7,"0.00%",13,"0.10%",2,"0.20%",0,"0.00%","D",294206,302941,4510,3709,1334,1366,4115,5119,4442,4222
2012,"Vermont",626090,45277,34,"0.00%",5,"0.00%",10,"0.00%",2,"0.00%",0,"0.00%",4,"0.20%",15,"0.00%",9,"0.00%",7,"0.00%",17,"0.10%",0,"0.00%",0,"0.00%","D",293482,302129,4633,3755,1332,1351,4231,5271,4519,4379
2013,"Vermont",626210,45770,31,"0.00%",4,"0.00%",14,"0.10%",7,"0.10%",3,"0.10%",1,"0.00%",10,"0.00%",10,"0.00%",10,"0.00%",8,"0.00%",0,"0.00%",0,"0.00%","D",293245,301476,4812,3935,1328,1341,4368,5446,4772,4588
2014,"Vermont",625214,47641,40,"0.00%",6,"0.00%",15,"0.10%",7,"0.10%",5,"0.10%",4,"0.10%",13,"0.00%",13,"0.00%",14,"0.10%",17,"0.10%",1,"0.10%",1,"0.30%","D",292420,300663,4945,4025,1332,1310,4526,5591,4843,4684
2015,"Vermont",625216,48876,45,"0.10%",11,"0.00%",11,"0.00%",3,"0.00%",1,"0.00%",2,"0.10%",12,"0.00%",12,"0.00%",11,"0.10%",20,"0.10%",0,"0.00%",1,"0.30%","D",291688,299676,5148,4213,1341,1297,5083,6150,4974,4815
2016,"Vermont",623657,49621,29,"0.00%",7,"0.00%",8,"0.00%",1,"0.00%",2,"0.10%",1,"0.00%",9,"0.00%",7,"0.00%",6,"0.00%",15,"0.10%",0,"0.00%",0,"0.00%","D",290358,298442,5304,4264,1349,1306,5336,6367,5184,4946
2017,"Vermont",624344,50709,46,"0.10%",8,"0.00%",16,"0.10%",3,"0.00%",3,"0.10%",4,"0.10%",18,"0.00%",11,"0.00%",14,"0.10%",27,"0.10%",2,"0.20%",0,"0.00%","R",289841,297916,5511,4361,1341,1331,5777,6892,5379,5214
2018,"Vermont",624358,52191,25,"0.00%",3,"0.00%",14,"0.10%",0,"0.00%",2,"0.10%",1,"0.00%",11,"0.00%",8,"0.00%",9,"0.10%",10,"0.00%",2,"0.20%",0,"0.00%","R",289217,297445,5690,4399,1338,1348,5831,6975,5512,5410
2019,"Vermont",623989,53860,36,"0.00%",6,"0.00%",8,"0.00%",2,"0.00%",1,"0.00%",3,"0.10%",14,"0.00%",9,"0.00%",11,"0.10%",17,"0.10%",1,"0.10%",1,"0.50%","R",288643,296332,5897,4549,1335,1340,5927,7105,5618,5600
2020,"Vermont",643077,57423,31,"0.00%",8,"0.00%",17,"0.10%",5,"0.10%",1,"0.00%",5,"0.10%",19,"0.10%",17,"0.10%",6,"0.00%",12,"0.00%",1,"0.10%",0,"0.00%","R",287880,295529,6053,4646,1351,1342,5960,7268,5805,5750
2010,"Virginia",8023699,45513,3146,"3.10%",1243,"3.50%",905,"3.10%",290,"2.60%",126,"3.30%",62,"2.20%",975,"2.70%",843,"2.70%",677,"2.90%",770,"3.10%",31,"3.00%",6,"3.00%","R",2606913,2683359,759087,830783,11765,12044,228695,253813,284325,260683
2011,"Virginia",8101155,47608,3181,"3.20%",1280,"3.60%",953,"3.30%",310,"2.60%",130,"3.10%",91,"3.20%",1110,"3.00%",966,"3.10%",692,"2.90%",770,"3.00%",25,"2.70%",7,"2.90%","R",2621263,2694114,765715,836855,11878,12208,236927,263116,294149,271029
2012,"Virginia",8185080,49309,3201,"3.20%",1161,"3.50%",951,"3.10%",307,"2.80%",118,"3.10%",79,"3.00%",1118,"3.00%",960,"3.10%",673,"2.90%",845,"3.20%",32,"3.00%",9,"3.20%","R",2636456,2705501,773860,844639,12058,12300,245949,273863,303713,281201
2013,"Virginia",8252427,48573,3095,"3.30%",1177,"3.60%",947,"3.40%",338,"3.20%",135,"3.60%",94,"3.00%",1207,"3.10%",1018,"3.20%",624,"2.90%",826,"3.20%",38,"3.70%",8,"2.40%","R",2645666,2711787,781614,851530,12244,12362,254067,282398,312634,290244
2014,"Virginia",8310993,50318,3051,"3.40%",1155,"3.70%",927,"3.60%",276,"2.90%",128,"3.60%",99,"3.60%",1307,"3.40%",1100,"3.60%",600,"2.90%",767,"3.00%",34,"3.60%",14,"4.20%","D",2650463,2713972,789415,858229,12417,12523,263319,292476,319813,297937
2015,"Virginia",8361808,52238,2844,"3.20%",1068,"3.40%",868,"3.30%",253,"2.60%",122,"3.40%",99,"3.60%",1182,"3.10%",993,"3.20%",593,"2.90%",786,"3.10%",41,"4.40%",8,"2.40%","D",2649730,2711780,797329,865026,12454,12536,272809,302254,328540,306036
2016,"Virginia",8410106,53268,2945,"3.20%",1069,"3.30%",881,"3.30%",261,"2.70%",135,"3.50%",109,"3.50%",1242,"3.00%",1025,"3.10%",583,"2.80%",921,"3.30%",38,"3.50%",13,"5.50%","D",2648592,2710200,803224,871384,12599,12607,281301,311895,337756,315216
2017,"Virginia",8463587,54976,2730,"3.20%",966,"3.40%",818,"3.20%",228,"2.70%",105,"3.10%",91,"2.80%",1201,"3.10%",987,"3.10%",518,"2.80%",864,"3.20%",36,"3.60%",10,"4.90%","D",2647301,2708701,810310,877637,12821,12705,289816,320881,348284,325273
2018,"Virginia",8501286,56738,2594,"3.40%",875,"3.60%",814,"3.30%",215,"3.00%",102,"3.60%",62,"2.00%",1113,"2.80%",912,"3.00%",534,"3.20%",819,"3.30%",46,"4.30%",5,"2.30%","D",2643890,2706411,816120,883277,12853,12817,295762,326889,357219,334054
2019,"Virginia",8535519,58460,2265,"3.10%",767,"3.20%",753,"3.20%",188,"2.70%",99,"3.60%",78,"2.30%",1055,"2.70%",841,"2.80%",444,"2.90%",757,"3.10%",42,"3.80%",7,"3.30%","D",2642180,2704136,822406,889496,12879,12874,302954,334615,366273,343124
2020,"Virginia",8631393,61661,1974,"2.90%",676,"3.10%",657,"3.10%",192,"3.00%",68,"2.80%",105,"2.90%",993,"2.60%",775,"2.80%",352,"2.50%",714,"2.90%",51,"5.20%",5,"1.10%","D",2637408,2699886,827543,894295,12985,13055,309172,340918,374707,351665
2010,"Washington",6742830,42348,1247,"1.20%",357,"1.00%",368,"1.30%",166,"1.50%",66,"1.70%",52,"1.90%",507,"1.40%",409,"1.30%",335,"1.40%",395,"1.60%",17,"1.60%",0,"0.00%","D",2491270,2529196,151898,133075,52477,53762,266050,303928,349097,320108
2011,"Washington",6826627,44225,1346,"1.30%",432,"1.20%",370,"1.30%",225,"1.90%",110,"2.60%",75,"2.60%",520,"1.40%",401,"1.30%",355,"1.50%",436,"1.70%",15,"1.60%",1,"0.40%","D",2508171,2541203,157171,137150,52763,54076,276809,315156,357946,330037
2012,"Washington",6897058,47320,1190,"1.20%",325,"1.00%",359,"1.20%",175,"1.60%",100,"2.60%",39,"1.50%",491,"1.30%",367,"1.20%",326,"1.40%",422,"1.60%",10,"0.90%",5,"1.80%","D",2519278,2548724,162098,141661,53005,54375,287374,326154,365388,338868
2013,"Washington",6963985,47857,1285,"1.40%",366,"1.10%",425,"1.50%",153,"1.40%",112,"3.00%",55,"1.70%",566,"1.50%",425,"1.40%",365,"1.70%",485,"1.90%",12,"1.20%",39,"11.70%","D",2528527,2555105,166265,145259,53291,54708,298382,336882,374254,347520
2014,"Washington",7054655,50890,1159,"1.30%",352,"1.10%",352,"1.40%",141,"1.50%",56,"1.60%",67,"2.40%",541,"1.40%",407,"1.30%",334,"1.60%",423,"1.70%",9,"1.00%",4,"1.20%","D",2545228,2566778,170832,148954,53730,55063,312747,351501,384718,357304
2015,"Washington",7163657,53083,1243,"1.40%",400,"1.30%",351,"1.30%",182,"1.90%",73,"2.10%",54,"2.00%",576,"1.50%",433,"1.40%",350,"1.70%",433,"1.70%",11,"1.20%",1,"0.30%","D",2566953,2585470,175882,153713,54157,55567,328747,367575,395549,368422
2016,"Washington",7294771,54918,1369,"1.50%",419,"1.30%",442,"1.60%",179,"1.80%",76,"2.00%",54,"1.70%",658,"1.60%",495,"1.50%",331,"1.60%",477,"1.70%",14,"1.30%",4,"1.70%","D",2595268,2610196,182472,158767,54564,56078,345181,384371,409987,382137
2017,"Washington",7423362,57244,1198,"1.40%",384,"1.30%",361,"1.40%",150,"1.80%",75,"2.20%",72,"2.20%",616,"1.40%",458,"1.40%",305,"1.70%",446,"1.70%",19,"1.90%",7,"3.40%","D",2619298,2632121,189499,164205,55205,56619,363349,402944,422529,395115
2018,"Washington",7523869,60178,1135,"1.50%",318,"1.30%",391,"1.60%",143,"2.00%",53,"1.90%",55,"1.70%",613,"1.60%",457,"1.50%",304,"1.80%",423,"1.70%",27,"2.50%",4,"1.80%","D",2632617,2644431,196291,169617,55517,57097,380494,419515,433076,406195
